,  ,  ,  , 19:50:09, 09/03/2024, Presentsent,20:09:02,05/03/2024,Present
3, 123, John Doe, Computer Science, 20:12:55, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:56, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:57, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:57, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:58, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:58, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:58, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:58, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:58, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:58, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:58, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:59, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:59, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:59, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:59, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:59, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:59, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:12:59, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:00, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:00, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:00, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:00, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:00, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:01, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:01, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:01, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:01, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:01, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:01, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:01, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:02, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:02, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:02, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:02, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:02, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:02, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:02, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:04, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:04, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:04, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:04, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:05, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:05, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:05, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:05, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:05, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:05, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:05, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:05, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:06, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:06, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:06, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:06, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:06, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:06, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:06, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:07, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:07, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:07, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:07, 09/03/2024, Present
3, 123, John Doe, Computer Science, 20:13:07, 09/03/2024, Present
